OrderID,CustomerName,Product,Category,Quantity,UnitPrice,OrderDate,Region
1,Arjun Mehta,Smartphone,Electronics,8,8534.19,27-01-2025,South
2,Suresh Pillai,Cricket Bat,Sports,2,480.93,25-02-2025,West
3,Aditi Chauhan,Bed Frame,Furniture,18,6172.68,16-06-2025,North
4,Kavya Nair,Dumbbells,Sports,19,2405.98,11-08-2025,West
5,Pooja Desai,Laptop,Electronics,9,9395.05,15-07-2025,East
6,Amit Kumar,Rice 5kg,Groceries,4,462.83,30-03-2025,West
7,Priya Patel,Yoga Mat,Sports,18,1217.4,25-08-2025,West
8,Ritu Bansal,T-Shirt,Clothing,20,3133.33,03-04-2025,East
9,Amit Kumar,Football,Sports,8,6241.28,21-01-2025,North
10,Sanjay Rao,Office Chair,Furniture,15,16438.58,04-04-2025,East
11,Neha Verma,Bookshelf,Furniture,9,17992.78,24-06-2025,South
12,Ananya Iyer,Tablet,Electronics,6,25961.51,11-03-2025,South
13,Karan Malhotra,Football,Sports,8,6618.97,26-07-2025,North
14,Arjun Mehta,Sugar 1kg,Groceries,7,1100.11,26-05-2025,North
15,Isha Kapoor,Cooking Oil 1L,Groceries,15,214.3,05-02-2025,West
16,Ritu Bansal,Bed Frame,Furniture,19,11568.19,30-05-2025,East
17,Kavya Nair,Jacket,Clothing,17,1878.74,13-07-2025,South
18,Vikram Singh,Smartphone,Electronics,14,33205.68,09-04-2025,South
19,Rajesh Khanna,Saree,Clothing,18,3054.36,03-01-2025,East
20,Ritu Bansal,Bluetooth Speaker,Electronics,11,7022.93,22-04-2025,East
21,Rahul Sharma,Sofa,Furniture,17,19406.11,10-05-2025,East
22,Divya Joshi,Bluetooth Speaker,Electronics,5,21190.72,11-02-2025,South
23,Rahul Sharma,Badminton Racket,Sports,16,400.94,26-08-2025,East
24,Kavya Nair,Atta 10kg,Groceries,8,1059.71,21-01-2025,North
25,Isha Kapoor,Bluetooth Speaker,Electronics,18,42354.83,02-02-2025,North
26,Ananya Iyer,Saree,Clothing,17,3091.66,19-04-2025,East
27,Rohan Gupta,Bed Frame,Furniture,13,24886.01,16-06-2025,East
28,Manish Tiwari,Sugar 1kg,Groceries,4,335.09,17-01-2025,West
29,Suresh Pillai,Rice 5kg,Groceries,19,303.25,19-01-2025,South
30,Amit Kumar,Laptop,Electronics,11,4825.37,02-03-2025,North
31,Rohan Gupta,Sugar 1kg,Groceries,19,712.64,04-03-2025,South
32,Rohan Gupta,Kurta,Clothing,4,2408.4,01-04-2025,North
33,Rajesh Khanna,Kurta,Clothing,4,493.02,06-07-2025,North
34,Kavya Nair,Rice 5kg,Groceries,7,666.73,05-02-2025,South
35,Arjun Mehta,Jeans,Clothing,8,3098.23,20-01-2025,West
36,Sneha Reddy,Saree,Clothing,18,2975.12,24-01-2025,North
37,Pooja Desai,Study Table,Furniture,16,6523.06,13-04-2025,West
38,Sanjay Rao,Laptop,Electronics,13,15320.23,20-07-2025,North
39,Pooja Desai,Jacket,Clothing,5,906.86,25-02-2025,West
